"X","Y","DateTime"
"641.5","839.3","236292497294"
"632.5","845.9","236292505830"
"643.4","831.7","236292514042"
"631.5","842.9","236292522345"
"643.6","835.3","236292539219"
"643.7","840.5","236292547582"
"619.1","848.6","236292563999"
"623.6","837.8","236292580586"
"636.8","840.6","236292589028"
"645.9","840.0","236292597375"
"639.6","838.9","236292605600"
"652.9","834.2","236292614100"
"639.8","832.0","236292622590"
"639.8","832.0","236292630648"
"638.5","828.7","236292639092"
"647.4","845.3","236292647305"
"645.5","842.3","236292655745"
